類別代號,類別,信筒樣式代號,信筒樣式,縣市,鄉鎮市區,村里,路名,地址描述,服務單位,聯絡電話,備註,x座標,y座標
3,普通信筒,2,雙口,高雄市,小港區,高松里,高鳳路33之3號,高松郵局門口,高松郵局,(07)8035049,收信時間16:45,120.371666,22.574444
3,普通信筒,2,雙口,高雄市,小港區,桂林里,桂陽路54號,,小港投遞股,(07)8064620,收信時間17:00,120.357231,22.581996
3,普通信筒,2,雙口,高雄市,大社區,大社里,大社路399號,,大社郵局,(07)3531730#22,收信時間11:00,120.37405,22.739582
1,限時信筒,2,雙口,高雄市,仁武區,仁武里,中正路115號,仁武郵局前,仁武郵局,(07)3716005,收信時間17:30,120.348183,22.701606
3,普通信筒,2,雙口,新北市,泰山區,貴賢里,明志路3段85號,泰山貴子路郵局,新莊郵局(三重36支),(02)29921622#400,收信時間1700,121.425277,25.041388
4,普通信箱,2,雙口,新北市,泰山區,貴子里,工專路84號,明志科技大學,新莊郵局(三重36支),(02)29921622#400,收信時間1700,121.422408,25.040746
3,普通信筒,2,雙口,新北市,新莊區,雙鳳里,新北大道7段486號,伊吉邦社區,新莊郵局(三重36支),(02)29921622#400,收信時間1705,121.412983,25.030071999999997
4,普通信箱,1,單口,苗栗縣,獅潭鄉,豐林村,塩水坑23號,,大湖郵局,(037)992841,收信時間10:00,120.954999,24.596388
4,普通信箱,1,單口,苗栗縣,頭屋鄉,獅潭村,中興街54號,,苗栗郵局郵務股,(037)320104,收信時間11:00,120.851839,24.579561
5,限時普通雙用信筒,2,雙口,高雄市,小港區,山東里,中山四路2號,小港機場國內線出口廳,小港投遞股,(07)8064620,收信時間16:00,120.345535,22.570064000000002
4,普通信箱,2,雙口,新竹市,東區,高峰里,高峰路307號,,新竹郵局投遞股,(03)5240075,收信時間10:30,120.980555,24.781666
3,普通信筒,2,雙口,新竹市,香山區,香村里,玄奘路48號,玄奘大學警衛室旁,新竹郵局投遞股,(03)5240075,收信時間10:00,120.944097,24.774748000000002
4,普通信箱,1,單口,新竹縣,五峰鄉,花園村,花園102號,,五峰郵局,(03)5851103,收信時間11:30,121.118545,24.633219
4,普通信箱,2,雙口,新竹縣,竹北市,尚義里,鳳岡路三段155號,,竹北郵局,(03)5551121#23,收信時間09:00,120.965243,24.862194000000002
6,限時普通雙用信箱,2,雙口,新竹縣,竹東鎮,商華里,康寧街71號,,竹東郵局,(03)5940905,收信時間13:10,121.087146,24.736787
3,普通信筒,3,四口,新竹縣,湖口鄉,鳳山村,勝利路二段245號,,湖口郵局,(03)5996640,收信時間:10:30,121.020404,24.858648
3,普通信筒,1,單口,新北市,淡水區,福德里,自強路51號,基督書院,淡水郵局(三重27支),(02)26226205#221,收信時間1400,121.46184000000001,25.130018000000003
5,限時普通雙用信筒,2,雙口,新北市,新莊區,昌平里,思源路583號,,新莊郵局(三重36支),(02)29921622#400,收信時間1715,121.459467,25.059154
3,普通信筒,2,雙口,新北市,新莊區,文衡里,中正路265號,新莊郵局前,新莊郵局(三重36支),(02)29921622#400,收信時間1830,121.44961199999999,25.035427000000002
3,普通信筒,2,雙口,苗栗縣,通霄鎮,平元里,平新二路1號,,通霄郵局,(037)752264,收信時間17:11,120.68270227036666,24.486778325281115
3,普通信筒,2,雙口,苗栗縣,造橋鄉,大西村,大西一街98號,造橋大西郵局前,造橋大西郵局,(037)542644,收信時間17:00,120.889698,24.622849
4,普通信箱,1,單口,苗栗縣,獅潭鄉,新店村,新店58之2號,獅潭郵局前,獅潭郵局,(037)931316,收信時間16:30,120.9196,24.522888
3,普通信筒,2,雙口,苗栗縣,頭份市,東庄里,信義路128號,為恭紀念醫院前,頭份郵局,(037)673114#18,收信時間16:00,120.907182,24.687223999999997
5,限時普通雙用信筒,2,雙口,高雄市,旗津區,北汕里,旗津三路2號,區公所前,旗津郵局,(07)5717832,收信時間16:20,120.284353,22.590366
3,普通信筒,2,雙口,新竹市,香山區,鹽水里,長興街59號,廟前,新竹郵局投遞股,(03)5240075,收信時間10:30,120.91197899999999,24.760321
4,普通信箱,1,單口,新竹縣,五峰鄉,大隘村,6鄰95號,五峰郵局門口,五峰郵局,(03)5851103,收信時間16:00,121.1195,24.631705
3,普通信筒,2,雙口,新竹縣,竹北市,新國里,中央路3號,竹北高中門口,竹北郵局,(03)5551121#23,收信時間10:30,121.004262,24.836969
1,限時信筒,2,雙口,新竹縣,竹北市,竹仁里,中正東路42號,中山郵局門口,竹北郵局,(03)5551121#23,收信時間17:00,121.018801,24.835637
6,限時普通雙用信箱,2,雙口,新竹縣,竹東鎮,東寧里,中豐路二段5號,,竹東郵局,(03)5940905,收信時間13:30,121.09597699999999,24.722462
7,限時信筒， 普通信筒,4,普通單口/限時單口,新竹縣,竹東鎮,東寧里,東寧路一段77號,下公館郵局門口,竹東郵局,(03)5940905,收信時間16:30,121.095022,24.72381
4,普通信箱,2,雙口,新竹縣,湖口鄉,長嶺村,長安路70號,,湖口郵局,(03)5996640,收信時間:10:00,121.08951,24.88773
1,限時信筒,1,單口,新北市,蘆洲區,保新里,三民路372號,,蘆洲郵局(三重15支),(02)22814738#301,收信時間1530,121.464699,25.092457
1,限時信筒,1,單口,新北市,蘆洲區,永德里,長安街225號,蘆洲中原路郵局門口,蘆洲郵局(三重15支),(02)22814738#301,收信時間1730,121.459404,25.082552
5,限時普通雙用信筒,2,雙口,苗栗縣,通霄鎮,白東里,白東142號,通霄白沙屯郵局前,通霄白沙屯郵局,(037)792976,收信時間16:35,120.710916,24.565395
1,限時信筒,1,單口,苗栗縣,銅鑼鄉,銅鑼村,大同路13號,銅鑼火車站前,銅鑼郵局,(037)981133,收信時間17:00,120.78620107275182,24.486608081303515
4,普通信箱,2,雙口,苗栗縣,頭份市,忠孝里,信東路194號,,頭份郵局,(037)673114#18,收信時間15:50,120.90850351269916,24.69143608615295
4,普通信箱,2,雙口,苗栗縣,頭份市,東庄里,民族路446號,,頭份郵局,(037)673114#18,收信時間16:40,120.8945351973555,24.685604551513283
5,限時普通雙用信筒,2,雙口,苗栗縣,頭屋鄉,頭屋村,中正街48號,,苗栗郵局郵務股,(037)320104,收信時間17:23,120.850568,24.577843
1,限時信筒,2,雙口,高雄市,左營區,尾西里,實踐路43號,左營郵局前,左營郵局,(07)5810018,收信時間17:00,120.29374600000001,22.690183
5,限時普通雙用信筒,2,雙口,高雄市,旗津區,中洲里,中洲二路94號,中洲代辦所,旗津郵局,(07)5717832,收信時間16:35,120.291588,22.582199
4,普通信箱,2,雙口,新竹市,北區,金竹里,湳雅街311巷36弄14號,,新竹郵局投遞股,(03)5240075,收信時間10:30,120.975241,24.823527
3,普通信筒,2,雙口,新竹市,東區,綠水里,光復路2段798號,警二分局前,新竹郵局投遞股,(03)5240075,收信時間10:00,120.986438,24.801665000000003
3,普通信筒,2,雙口,新竹市,香山區,虎林里,延平路2段78號,虎林國小旁,新竹郵局投遞股,(03)5240075,收信時間08:15,120.940462,24.805283
4,普通信箱,1,單口,新竹縣,尖石鄉,玉峰村,石磊10鄰54號,石磊國小,尖石郵局,(03)5842274,收件時間14:00,121.32741299999999,24.655682000000002
4,普通信箱,1,單口,新竹縣,竹東鎮,南華里,東寧路二段189號,,竹東郵局,(03)5940905,收信時間13:00,121.088198,24.733375
7,限時信筒， 普通信筒,4,普通單口/限時單口,新竹縣,竹東鎮,雞林里,東林路128號,竹東郵局門口,竹東郵局,(03)5940905,收信時間17:30,121.092775,24.736542
3,普通信筒,2,雙口,新竹縣,竹東鎮,二重里,學府東路300號,放翁清靜社區,竹東郵局,(03)5940905,收信時間10:40,121.05588200000001,24.754448000000004
3,普通信筒,3,四口,臺北市,士林區,福林里,中山北路5段98號,,臺北郵局士林投遞股,(02)28859358#10,收信時間10:30,121.52573,25.08431
3,普通信筒,2,雙口,臺北市,士林區,翠山里,至善路二段9號,,臺北郵局士林投遞股,(02)28859358#10,收信時間10:30,121.543722,25.09738
7,限時信筒， 普通信筒,4,普通單口/限時單口,臺北市,士林區,東山里,士東路286巷36號,105支芝山郵局,臺北郵局士林投遞股,(02)28859358#15,收信時間17:00,121.53747,25.11154
4,普通信箱,1,單口,苗栗縣,頭份市,合興里,信義路430號,,頭份郵局,(037)673114#18,收信時間11:00,120.896388,24.696388
4,普通信箱,1,單口,苗栗縣,頭份市,尖下里,尖豐路316號,,頭份郵局,(037)673114#18,收信時間11:00,120.881944,24.660277
3,普通信筒,2,雙口,高雄市,小港區,港南里,小港一街1號,小港郵局門口,小港郵局,(07)8218605,收信時間17:20,120.33656300000001,22.564558999999996
1,限時信筒,2,雙口,高雄市,楠梓區,泰昌里,右昌街347號,楠梓右昌郵局前,楠梓右昌郵局,(07)3614445,收信時間17:00,120.288845,22.714566
5,限時普通雙用信筒,2,雙口,新竹市,東區,科園里,民有一街30號,龍山代辦所前,新竹郵局投遞股,(03)5240075,收信時間09:30,121.010641,24.782823
5,限時普通雙用信筒,2,雙口,新竹市,東區,龍山里,光復路1段554號,第一代辦所,新竹郵局投遞股,(03)5240075,收信時間10:00,121.010488,24.786986
7,限時信筒， 普通信筒,8,普通雙口/限時雙口,新竹市,香山區,香山里,中華路5段53號,三姓橋郵局門口,三姓橋郵局,(03)5383031,收信時間17:00,120.927724,24.787597
3,普通信筒,3,四口,臺北市,士林區,福林里,至善路一段138巷2號,,臺北郵局士林投遞股,(02)28859358#10,收信時間10:30,121.54,25.097222
3,普通信筒,2,雙口,臺北市,士林區,福志里,福林路247號,,臺北郵局士林投遞股,(02)28859358#15,收信時間16:30,121.534737,25.098362
5,限時普通雙用信筒,2,雙口,臺北市,士林區,福佳里,中正路322號,,臺北郵局士林投遞股,(02)28859358#15,收信時間16:30,121.52262,25.09495
5,限時普通雙用信筒,2,雙口,苗栗縣,通霄鎮,通東里,中正路8號,,通霄郵局,(037)752264,收信時間17:15,120.683927,24.491136
4,普通信箱,2,雙口,苗栗縣,獅潭鄉,新店村,新店109號,,大湖郵局,(037)992841,收信時間10:00,120.9196,24.522888
6,限時普通雙用信箱,2,雙口,苗栗縣,銅鑼鄉,銅鑼村,中正路218號,,銅鑼郵局,(037)981133,收信時間17:12,120.78804,24.489712
4,普通信箱,2,雙口,苗栗縣,頭份市,建國里,永安街170號,,頭份郵局,(037)673114#18,收信時間11:00,120.916111,24.696944
3,普通信筒,2,雙口,高雄市,小港區,桂林里,桂華街130號,高雄桂林郵局門口,高雄桂林郵局,(07)7915275,收信時間17:15,120.358333,22.583333
1,限時信筒,2,雙口,高雄市,左營區,菜公里,博愛三路520號,左營菜公郵局前,左營菜公郵局,(07)3455598,收信時間17:00,120.308792,22.679344
1,限時信筒,2,雙口,高雄市,大社區,大社里,自強街9號,大社郵局前,大社郵局,(07)3531730,收信時間18:00,120.34692,22.731328
4,普通信箱,2,雙口,高雄市,仁武區,烏林里,仁林路267巷5弄1號,,大社郵局,(07)3531730#23,收信時間11:00,120.391423,22.701507
5,限時普通雙用信筒,2,雙口,新竹市,東區,文華里,田美三街2號,經國路、田美三街口,新竹郵局投遞股,(03)5240075,收信時間11:00,120.97703299999999,24.814928000000002
5,限時普通雙用信筒,2,雙口,新竹縣,竹北市,泰合里,新泰路35號,聯合科技大樓前,竹北郵局,(03)5551121#23,收信時間09:00,121.006539,24.841261
3,普通信筒,2,雙口,臺北市,士林區,葫東里,中正路601號,,臺北郵局士林投遞股,(02)28859358#15,收信時間16:30,121.509995,25.086453
3,普通信筒,2,雙口,臺北市,士林區,福志里,志成街36號,福林國小後門,臺北郵局士林投遞股,(02)28859358#15,收信時間16:30,121.530139,25.097221
3,普通信筒,3,四口,臺北市,士林區,福林里,福林路自祥街口,,臺北郵局士林投遞股,(02)28859358#10,收信時間10:30,121.53295,25.096890000000002
4,普通信箱,2,雙口,苗栗縣,銅鑼鄉,中平村,中興路17號,,銅鑼郵局,(037)981133,收信時間11:00,120.801414,24.49239
4,普通信箱,1,單口,苗栗縣,頭份市,興隆里,興二街78號,,頭份郵局,(037)673114#18,收信時間11:00,120.93534427112895,24.699474660530264
3,普通信筒,2,雙口,高雄市,小港區,港興里,大業北路37號,臨海工業區管理中心,小港投遞股,(07)8064620,收信時間16:00,120.344944,22.566522
1,限時信筒,2,雙口,高雄市,左營區,新上里,富國路48號,超商門前,高北快包股,(07)3109620,收信時間14:30,120.306517,22.658038
1,限時信筒,2,雙口,高雄市,楠梓區,慶昌里,新昌街53號,楠梓莒光郵局前,楠梓莒光郵局,(07)3612330,收信時間17:00,120.298888,22.71
3,普通信筒,3,四口,新竹市,東區,立功里,金城1路99號,,新竹郵局投遞股,(03)5240075,收信時間10:00,121.00477800000002,24.795671000000002
3,普通信筒,2,雙口,新竹市,東區,金山里,光復路1段89巷137號,,新竹郵局投遞股,(03)5240075,收信時間10：30,121.025339,24.778269
4,普通信箱,2,雙口,新竹市,香山區,南港里,南港街50巷2號,,新竹郵局投遞股,(03)5240075,收信時間10:00,120.897222,24.739999
4,普通信箱,1,單口,新竹縣,五峰鄉,桃山村,清泉166號,,五峰郵局,(03)5851103,收信時間10:30,121.10475,24.576733
6,限時普通雙用信箱,2,雙口,新竹縣,北埔鄉,埔尾村,埔心街118號,,北埔郵局,(03)5802261,收件時間15:00,121.051777,24.703147
1,限時信筒,2,雙口,新竹縣,竹北市,竹仁里,博愛街390號,竹北博愛郵局門口,竹北郵局,(03)5551121#23,收信時間17:00,121.008994,24.836686
1,限時信筒,2,雙口,新竹縣,竹北市,竹義里,中正西路60號,竹北郵局門口,竹北郵局,(03)5551121#23,收信時間17:00,121.003051,24.839992
3,普通信筒,2,雙口,新竹縣,竹北市,大眉里,鳳岡路一段33號,,竹北郵局,(03)5551121#23,收信時間10:00,121.00116299999999,24.855194
3,普通信筒,2,雙口,新竹縣,竹東鎮,五豐里,自強路9號,,竹東郵局,(03)5940905,收信時間09:10,121.081037,24.748564
1,限時信筒,2,雙口,新竹縣,新埔鎮,四座里,中正路210號,新埔郵局門口,新埔郵局,(03)5882134,收信時間:17:30,121.082858,24.827084
3,普通信筒,2,雙口,臺北市,士林區,永倫里,社中街436號,,臺北郵局士林投遞股,(02)28859358#15,收信時間16:30,121.502202,25.09168
3,普通信筒,2,雙口,臺北市,士林區,福安里,延平北路7段79號,,臺北郵局士林投遞股,(02)28859358#10,收信時間10:30,121.495314,25.096489
6,限時普通雙用信箱,2,雙口,苗栗縣,通霄鎮,通南里,南華路16巷20號,,通霄郵局,(037)752264,收信時間16:40,120.674949,24.482153
3,普通信筒,2,雙口,苗栗縣,造橋鄉,造橋村,平仁路32號,造橋郵局,造橋郵局,(037)562644,收信時間17:00,120.86605908201103,24.640794221561976
4,普通信箱,1,單口,苗栗縣,銅鑼鄉,中平村,中平3號,,銅鑼郵局,(037)981133,收信時間11:10,120.80865553967985,24.49576319478959
5,限時普通雙用信筒,2,雙口,高雄市,小港區,山東里,中山四路2號,小港機場郵局門口,小港機場郵局,(07)8011918,收信時間16:35,120.346255,22.569864000000003
1,限時信筒,2,雙口,高雄市,左營區,尾西里,左營大路345巷9號,,高北快包股,(07)3109620,收信時間13:30,120.292509,22.687274
1,限時信筒,1,單口,高雄市,前鎮區,興邦里,中四路1號,前鎮加工區郵局外,前鎮加工區郵局,(07)8218017,收信時間17:00,120.290144,22.601165
3,普通信筒,2,雙口,高雄市,大樹區,三和里,學城路一段1號,義守大學郵局前,義守大學郵局,(07)6577328,收信時間15:30,120.409444,22.730277
4,普通信箱,2,雙口,新竹市,北區,曲溪里,崧嶺路57巷41號,榮民代辦所大門內,新竹郵局投遞股,(03)5240075,收信時間09:30,120.954679,24.793538
4,普通信箱,2,雙口,新竹市,北區,新雅里,成功路328號,,新竹郵局投遞股,(03)5240075,收信時間11:00,120.954158,24.813441
3,普通信筒,2,雙口,新竹市,東區,光明里,光復路2段101號,清大餐廳前,新竹郵局投遞股,(03)5240075,收信時間09:30,120.99322099999999,24.793491999999993
3,普通信筒,2,雙口,新竹市,香山區,香村里,元培街306號,元培醫事科技大學大門前,新竹郵局投遞股,(03)5240075,收信時間10:30,120.940382,24.778131000000002
6,限時普通雙用信箱,2,雙口,新竹縣,北埔鄉,南興村,南興街68號,北埔鄉戶政事務所前,北埔郵局,(03)5802261,收件時間15:00,121.0575,24.699999
5,限時普通雙用信筒,2,雙口,新竹縣,芎林鄉,水坑村,大華路1號,大華技術學院大華樓後面,芎林郵局,(03)5922849,收件時間09:00,121.090388,24.779010000000003
5,限時普通雙用信筒,2,雙口,新竹縣,芎林鄉,文林村,文昌街51號,鄉公所前,芎林郵局,(03)5922849,收件時間09:30,121.079109,24.774895
3,普通信筒,1,單口,新竹縣,芎林鄉,新鳳村,文衡路17號,飛鳳山入口,芎林郵局,(03)5922849,收件時間11:00,121.08311,24.772885
4,普通信箱,1,單口,新竹縣,湖口鄉,中興村,中興一巷11號,,湖口郵局,(03)5996640,收信時間:11:00,121.03014800000003,24.866177
4,普通信箱,2,雙口,臺北市,士林區,福林里,臨溪路70號,86支東吳大學郵局,臺北郵局士林投遞股,(02)28859358#15,收信時間17:00,121.545746,25.094424
4,普通信箱,1,單口,苗栗縣,泰安鄉,清安村,洗水坑123號,,大湖郵局,(037)992841,收信時間10:00,120.90648,24.447032
4,普通信箱,1,單口,苗栗縣,頭份市,興隆里,興隆路一段19號,,頭份郵局,(037)673114#18,收信時間11:00,120.93156042619174,24.69712009106893
3,普通信筒,2,雙口,高雄市,小港區,大苓里,中山四路 9號,二苓郵局郵局門口,二苓郵局,(07)8013486,收信時間17:30,120.347777,22.569166
1,限時信筒,2,雙口,高雄市,楠梓區,瑞屏里,後昌路128號,高雄後勁郵局前,高雄後勁郵局,(07)3613972,收信時間17:00,120.31027,22.718408
4,普通信箱,2,雙口,高雄市,大社區,保社里,光華路5號,,大社郵局,(07)3531730#22,收信時間11:00,120.34961,22.745697
4,普通信箱,2,雙口,高雄市,仁武區,中華里,華興街16號,,大社郵局,(07)3531730#21,收信時間11:00,120.329554,22.712433
3,普通信筒,2,雙口,高雄市,仁武區,赤山里,仁勇路400號,,大社郵局,(07)3531730#21,收信時間11:00,120.347341,22.676922
4,普通信箱,2,雙口,新竹縣,峨眉鄉,富興村,忠義街12號,,北埔郵局,(03)5802261,收件時間12:00,120.98892599999995,24.688614999999995
7,限時信筒， 普通信筒,8,普通雙口/限時雙口,新竹縣,湖口鄉,信勢村,成功路100號,德盛郵局門口,湖口郵局,(03)5996640,收信時間:17:20,121.04357999999999,24.905426
5,限時普通雙用信筒,2,雙口,新竹縣,新埔鎮,新民里,中正路758號,鎮民代表前,新埔郵局,(03)5882134,收信時間:17:30,121.071491,24.827930000000002
3,普通信筒,3,四口,臺北市,士林區,義方里,基河路175號,基河路、小西街口,臺北郵局士林投遞股,(02)28859358#15,收信時間16:30,121.523011,25.089613
5,限時普通雙用信筒,2,雙口,苗栗縣,頭份市,和平里,中正路41號,,頭份郵局,(037)673114#18,收信時間15:40,120.907499,24.684722
3,普通信筒,2,雙口,高雄市,小港區,鳳森里,鳳林路82號,高雄大林蒲郵局門口,高雄大林蒲郵局,(07)8711345,收信時間17:00,120.346666,22.526388
1,限時信筒,2,雙口,高雄市,左營區,新中里,富民路356號,左營新莊仔郵局前,左營新莊仔郵局,(07)5561083,收信時間17:00,120.305291,22.664928
1,限時信筒,2,雙口,高雄市,左營區,海勝里,翠峰路2號,左營果貿郵局前,左營果貿郵局,(07)5820716,收信時間17:00,120.289671,22.671448
1,限時信筒,1,單口,高雄市,左營區,福山里,大中一路386號,高雄榮總內,左營榮總醫院,(07)3455239,收信時間16:50,120.321637,22.677584
1,限時信筒,2,雙口,高雄市,左營區,福山里,自由四路332號,左營福山郵局前,左營福山郵局,(07)3598435,收信時間17:00,120.316282,22.684802
1,限時信筒,2,雙口,高雄市,楠梓區,清豊里,常德路287號,超商前,高北快包股,(07)3109620,收信時間13:30,120.335795,22.736043
1,限時信筒,2,雙口,高雄市,楠梓區,五常里,建楠路3號,楠梓建楠郵局前,楠梓建楠郵局,(07)3523590,收信時間17:00,120.329576,22.727773
1,限時信筒,2,雙口,高雄市,楠梓區,翠屏里,德祥路129號,楠梓翠屏郵局前,楠梓翠屏郵局,(07)3603893,收信時間17:00,120.307526,22.726963
3,普通信筒,3,四口,新竹市,東區,明湖里,明湖路920巷口,,新竹郵局投遞股,(03)5240075,收信時間11:00,120.971283,24.770352
4,普通信箱,2,雙口,新竹市,東區,新莊里,新莊街180巷口,,新竹郵局投遞股,(03)5240075,收信時間10：00,121.017276,24.786948
